text,label
"is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!","1"
"Meh... Almost Lover is the exception... this track gets me depressed every time. ","1"
"@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ","1"
"wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ","1"
"@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love","1"
"@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!","1"
"@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!","1"
"@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  ","1"
"@LoveMeagan it doesn't work your fan is upset ","1"
"Wow. The most depressing thing in the world is losing a video that you've created in a matter of seconds.  #FML","1"
"I'm so upset that I missed my chat and quiz online because my free internet has ceased ","1"
"@kaeeeep yeah! i know! it was horrible!!!! ugh. saddening. ","1"
"@birutagme yeah  it was really depressing... stuff like that gets to me","1"
"This earthquake in italy has me sadden.  it's only three hours away from naples, where my family is ","1"
"@gigdiary I know -  was a little depressed that we ate so much last night there were no leftovers today ","1"
"they killed off a character on one of my favorite shows and now i'm upset ","1"
"Not feeling well again. Stupid migraine making my tummy upset.  and my whole body aches, shoot me now.","1"
"@Horrors_Wench Me toooooo! I feel like I've been on the verge of an anxiety attack all day.  ","1"
"@SCC_Skwerl Aww how depressing! ","1"
"I wish I had someone to talk to. I'm so upset.  no one likes me anyway","1"
"Need's help with this anxiety crap ","1"
"@dougiemcfly hey saw u guys play @ pushover..didn't get 2 meet u tho cuz of th HUGE line  i was very upset lol..a msg would make up 4 it!","1"
"@innocentdrinks COKE!? 20% minority stake? Really? Not April Fool? Can you give it back? So depressing. You were a favourite brand. Sad ","1"
"@tommcfly hey saw u guys play @ pushover..didn't get 2 meet u tho cuz of th HUGE line  i was very upset ='( lol..a msg would make up 4 it!","1"
"@infidelsarecool ugh how depressing.    i want to punch something.","1"
"wow #epicfail on me. I did a search for epicfail and didn't see many entries but apparently, it's widely used. I'm depressed now ","1"
"@dougiemcfly morning  i'm really upset  my rabbit ran away last night  and the postman woke me up early  reply? ilu x.","1"
"cant be bothered gwtting dressed  x","1"
"money isnt suppose to depress you ","1"
"Is upset that she couldn't find &quot;Church of the Flying Spaghetti Monster&quot; on Twitter to follow ","1"
"I know I shouldn't feel upset about losing a follower. Who was probably a porn star or trying to sell me something. And yet, I do. ","1"
"i've lost my favourite mac lipgloss...i'm so upset about it....i never lose things ","1"
"I have to go to the library and get some books on the bloody was  I really can't be bothered with these A levels anymore","1"
"It's so upsetting. Ami's in agony and the vet can't see her until 6pm. My poor little thing ","1"
"@Mirror_Kiss no, i don't have money, i'm very upset too ","1"
"is depressed he isn't going to be able to see David Archuleta. ","1"
"cant be bothered 2 get out of bed 2day - feelin ultra lazy!  i miss josh ","1"
"ugh does anyone know what i can do to stop anxiety attacks? pleeease...i need help ","1"
"Whats up with the world? why do ppl decide to shoot others?  watching the news is so depressing","1"
"It's depressing to start your day knowing you're not coming home until tomorrow night.  ","1"
"wish I could think of some fundraising tips that are JustGiving related, altho fundraising not going so great tbh. Am v depressed ","1"
"@bradiewebbstack aww wish u talked to mee...might get upset now ","1"
"My xbox360 died! I have no stress relief  How depressing... and in the middle of moving to a new apartment! UGH! Someone cheer me up.","1"
"@MarieLuv That is still terrible, but unfortunately these things happen.  Hope your friend wasn't too upset about being conned like that ","1"
"@ChloeChloe i completely forgot about the exams.. i really cant be bothered to revise.  *PERUface*","1"
"has got an upset stomach ","1"
"@xxandip i missed it too - v.upset  katie xx","1"
"Still very upset but strong;; barely slept last night so I'm going to try and sleep again. I miss him so muchh ","1"
"My rattie is still sick has pneumonia n a tumor  im really run down n depressed n havin a fibro day.","1"
"@Lady_Twitster Only managed two this morning. Bit depressing really. ","1"
"I'm obssesing about my weight! Gah! I can't stop thinking about the lbs. I've gained!!! It's making me upset ","1"
"Snow in April is really depressing. ","1"
"Last night I watched the most depressing episode of House ever!  But anywho, I'm sooo tired of speaking French 24/7. Ick...","1"
"A snow covered morning... In April. So depressing  http://twitpic.com/2yb54","1"
"@JoanneSkywalker It's really depressing!!! It teases me, by working fine up until I try to save the people I created. What the hell! AHH! ","1"
"going to the doctors again for the anxiety ","1"
"grrr... at home, sick... so depressed... ","1"
"is still so depressed about dr. kutner on house...   whyyyyyyyyyyyyyyy him?!","1"
"The world is gray. I am depressed ","1"
"I don't want to go to school!!! I feel awful!  Stupid anxiety attacks kill me!!","1"
"is loving the sun  but is upset she cant make the picnic thurs ","1"
"Lost a follower, thats just upsetting  ha","1"
"@Coatney just depressed the hell out of me. &quot;You started the same day as @Biz, right?' 'Yes.' 'Sorry you manage me and he's on Colbert.' ","1"
"Working on WWF banners now. Was very upset when I figured out that WWF was some panda stuff and not World Wrestling Federation  ","1"
"Watching EastEnders Revealed while eating chicken noodle soup. Going to get upset all over again re: Danielle &amp; Ronnie. ","1"
"smile on my face anymore he just makes me extreamly depressed its fair to say I'm put off ","1"
"Www.fmylife.com wow sometimes this site is funny, but other times it just really depressing  Shame that this kind of stuff happens to ppl","1"
"I hate watching trees getting cut down...it depresses me!! ","1"
"Back at work .... I am so upset my mom's puppy chewed up my Twilight book while I was sleeping and I just bought it last night    ","1"
"All I want to do is sleep today. &amp; clean, not to mention all the baby clothes I have to organize. &amp; my own clothes! Oh bother! ","1"
"Is depressed, RW is sold out  Help me out here! I'm despered","1"
"@jrontal NOOOOO!!!!!!  that depresses me......","1"
"I'm so upset with this phone  I hope it isn't broken for good. Stupid T-Mobile.","1"
"@iamjonathancook thanks, now that's going to be in my head all night. i'm upset you never gave me my other wishes yet, ","1"
"upset. not ceeing Short stack or the bride today ","1"
"ii feel all of the past models on the show shud be upset cuz these females are POPPED sorry  but blame Tyra","1"
"upset stomach  [$eanyBushk!ll]","1"
